,SeasonID,MatchID,HomeTeamID,AwayTeamID,HomeScore,HomeShots,AwayScore,AwayShots,HomeYield,AwayYield,NetHomeGoals,AbsGd,Sin_GW,Cos_GW,result,HomeOverallRank,AwayOverallRank,HomeTeamName,AwayTeamName
0,1,1,7,1,1,17,1,12,5.88235294117647,8.333333333333332,0,0,0.11609291412523023,0.993238357741943,0,16,13,Chicago H,Arlington
1,1,2,6,8,1,8,3,17,12.5,17.647058823529413,-2,2,0.11609291412523023,0.993238357741943,-1,24,28,Chicago B,Cincinnati
2,1,3,5,9,5,21,1,7,23.809523809523807,14.285714285714285,4,4,0.11609291412523023,0.993238357741943,1,22,8,Boston,Cleveland Queens
3,1,4,4,10,2,25,0,8,8.0,0.0,2,2,0.11609291412523023,0.993238357741943,1,25,5,Baltimore,Denver
4,1,5,3,11,3,13,3,19,23.076923076923077,15.789473684210526,0,0,0.11609291412523023,0.993238357741943,0,3,17,Atlanta,Detroit
5,1,6,2,12,2,11,1,20,18.181818181818183,5.0,1,1,0.11609291412523023,0.993238357741943,1,4,9,Anaheim,Houston
6,1,7,28,13,1,18,1,11,5.555555555555555,9.090909090909092,0,0,0.11609291412523023,0.993238357741943,0,15,12,Toronto,Kansas City
7,1,8,27,14,3,17,1,7,17.647058823529413,14.285714285714285,2,2,0.11609291412523023,0.993238357741943,1,20,14,Seattle,Los Angeles
8,1,9,26,15,0,4,2,30,0.0,6.666666666666667,-2,2,0.11609291412523023,0.993238357741943,-1,7,27,San Francisco,Miami
9,1,10,25,16,0,8,0,13,0.0,0.0,0,0,0.11609291412523023,0.993238357741943,0,2,6,San Diego,Milwaukee
10,1,11,24,17,2,10,1,8,20.0,12.5,1,1,0.11609291412523023,0.993238357741943,1,21,19,St. Louis,Minneapolis
11,1,12,23,18,2,14,3,16,14.285714285714285,18.75,-1,1,0.11609291412523023,0.993238357741943,-1,10,11,Pittsburgh,Montreal
12,1,13,22,19,1,10,4,17,10.0,23.52941176470588,-3,3,0.11609291412523023,0.993238357741943,-1,18,26,Philadelphia,New York S
13,1,14,21,20,0,35,0,4,0.0,0.0,0,0,0.11609291412523023,0.993238357741943,0,23,1,Oakland,New York C
14,1,15,2,1,0,9,2,18,0.0,11.11111111111111,-2,2,0.23061587074244017,0.9730448705798238,-1,4,13,Anaheim,Arlington
15,1,16,28,3,3,19,0,9,15.789473684210526,0.0,3,3,0.23061587074244017,0.9730448705798238,1,15,3,Toronto,Atlanta
16,1,17,27,4,0,9,0,11,0.0,0.0,0,0,0.23061587074244017,0.9730448705798238,0,20,25,Seattle,Baltimore
17,1,18,26,5,2,15,1,17,13.333333333333334,5.88235294117647,1,1,0.23061587074244017,0.9730448705798238,1,7,22,San Francisco,Boston
